X,Y,source_url,what3words,upstream,name,completeness,uuid,date_modified,source,version,type,phone,physical-address
25.9350507,-24.6593292,http://www.openstreetmap.org/way/109781003,flanked.gently.awakes,OpenStreetMap¶w109781003,120 - Health Clinic,29.41%,9a17f5a0b9bd49998b71b2e9155fe721,2016/06/07 22:07:14+00,OpenStreetMap,2,clinic,,
25.9187827,-24.6530782,http://www.openstreetmap.org/node/4524528591,suppose.saloons.bracelet,OpenStreetMap¶n4524528591,"Agape Dental Clinic, Agape Dental Clinic",29.41%,ef67a4da7da548c596803cc8405e9906,2016/11/27 11:48:53+00,OpenStreetMap,2,clinic,,
26.8241926,-23.1152739,http://www.openstreetmap.org/node/4659472595,beginner.bitterly.squelching,OpenStreetMap¶n4659472595,Airstrip Clinic,29.41%,3f18004ffea54d96957ba72aa198ecf0,2017/02/03 12:31:35+00,OpenStreetMap,2,hospital,,
25.9158929,-24.6593622,http://www.openstreetmap.org/node/4532627189,image.strain.mistress,OpenStreetMap¶n4532627189,"Bethesda Clinic, Bethesda Clinic",29.41%,b08b56ecadfe4f1ebd469d3e5708abe9,2016/12/01 19:36:43+00,OpenStreetMap,2,clinic,,
25.914643,-24.6588244,http://www.openstreetmap.org/node/4515451890,winning.droplet.scraper,OpenStreetMap¶n4515451890,"Blood Transfusion Centre, Blood Transfusion Centre",29.41%,a25ea87fc64249a087c432dc2d1a69ae,2017/01/27 01:27:04+00,OpenStreetMap,2,clinic,,
28.4141355,-21.9815641,http://www.openstreetmap.org/node/3806278192,fudging.impetuous.protester,OpenStreetMap¶n3806278192,Bobonong Primary Hospital,29.41%,382661d82aff4bc8b47be372935f7985,2015/10/28 07:08:11+00,OpenStreetMap,2,hospital,,
25.5416536,-24.4008511,http://www.openstreetmap.org/node/4721611399,begin.whites.publish,OpenStreetMap¶n4721611399,"Bokaa Clinic, Bokaa Clinic",29.41%,0ff71028eb5f473c842fd5e6f95bf315,2017/03/07 08:27:06+00,OpenStreetMap,2,clinic,,
25.8400172187143,-24.58115345,http://www.openstreetmap.org/way/429362506,appeasing.cleanings.boulders,OpenStreetMap¶w429362506,Bokamoso Private Hospital,29.41%,1cff2a9943ae408c839191684aba716e,2016/07/05 19:16:47+00,OpenStreetMap,2,hospital,,
27.1265672,-22.5529005,http://www.openstreetmap.org/node/4510811402,equality.skill.follow,OpenStreetMap¶n4510811402,"Bokamoso Private Hospital, Bokamoso Private Hospital",29.41%,5ec2d0a8d13b48c99e47e31d661d6b95,2016/11/19 16:37:22+00,OpenStreetMap,2,clinic,,
25.4943037,-24.4086149,http://www.openstreetmap.org/node/4721607905,consonant.bleached.fashioned,OpenStreetMap¶n4721607905,Borakalalo Clinic,29.41%,8836573a439e444b88015e71152a3a39,2017/03/07 08:26:57+00,OpenStreetMap,2,clinic,,
